#            Cell,              Row,           Column,     Xcenter (cm),     Ycenter (cm)
               0,                0,                0,          -56.469,         -140.442
               1,                0,                1,          -52.177,         -140.442
               2,                0,                2,          -47.884,         -140.442
               3,                0,                3,          -43.366,         -140.442
               4,                0,                4,          -39.073,         -140.442
               5,                0,                5,          -34.781,         -140.442
               6,                0,                6,          -30.262,         -140.442
               7,                0,                7,          -25.970,         -140.442
               8,                0,                8,          -21.677,         -140.442
               9,                0,                9,          -17.159,         -140.442
              10,                0,               10,          -12.866,         -140.442
              11,                0,               11,           -8.574,         -140.442
              12,                1,                0,          -56.469,         -136.149
              13,                1,                1,          -52.177,         -136.149
              14,                1,                2,          -47.884,         -136.149
              15,                1,                3,          -43.366,         -136.149
              16,                1,                4,          -39.073,         -136.149
              17,                1,                5,          -34.781,         -136.149
              18,                1,                6,          -30.262,         -136.149
              19,                1,                7,          -25.970,         -136.149
              20,                1,                8,          -21.677,         -136.149
              21,                1,                9,          -17.159,         -136.149
              22,                1,               10,          -12.866,         -136.149
              23,                1,               11,           -8.574,         -136.149
              24,                2,                0,          -56.469,         -131.857
              25,                2,                1,          -52.177,         -131.857
              26,                2,                2,          -47.884,         -131.857
              27,                2,                3,          -43.366,         -131.857
              28,                2,                4,          -39.073,         -131.857
              29,                2,                5,          -34.781,         -131.857
              30,                2,                6,          -30.262,         -131.857
              31,                2,                7,          -25.970,         -131.857
              32,                2,                8,          -21.677,         -131.857
              33,                2,                9,          -17.159,         -131.857
              34,                2,               10,          -12.866,         -131.857
              35,                2,               11,           -8.574,         -131.857
              36,                3,                0,          -52.349,         -127.401
              37,                3,                1,          -48.057,         -127.401
              38,                3,                2,          -43.764,         -127.401
              39,                3,                3,          -39.246,         -127.401
              40,                3,                4,          -34.953,         -127.401
              41,                3,                5,          -30.661,         -127.401
              42,                3,                6,          -26.142,         -127.401
              43,                3,                7,          -21.850,         -127.401
              44,                3,                8,          -17.557,         -127.401
              45,                3,                9,          -13.039,         -127.401
              46,                3,               10,           -8.746,         -127.401
              47,                3,               11,           -4.454,         -127.401
              48,                3,               12,            0.065,         -127.401
              49,                3,               13,            4.357,         -127.401
              50,                3,               14,            8.650,         -127.401
              51,                3,               15,           13.168,         -127.401
              52,                3,               16,           17.461,         -127.401
              53,                3,               17,           21.754,         -127.401
              54,                4,                0,          -52.349,         -123.109
              55,                4,                1,          -48.057,         -123.109
              56,                4,                2,          -43.764,         -123.109
              57,                4,                3,          -39.246,         -123.109
              58,                4,                4,          -34.953,         -123.109
              59,                4,                5,          -30.661,         -123.109
              60,                4,                6,          -26.142,         -123.109
              61,                4,                7,          -21.850,         -123.109
              62,                4,                8,          -17.557,         -123.109
              63,                4,                9,          -13.039,         -123.109
              64,                4,               10,           -8.746,         -123.109
              65,                4,               11,           -4.454,         -123.109
              66,                4,               12,            0.065,         -123.109
              67,                4,               13,            4.357,         -123.109
              68,                4,               14,            8.650,         -123.109
              69,                4,               15,           13.168,         -123.109
              70,                4,               16,           17.461,         -123.109
              71,                4,               17,           21.754,         -123.109
              72,                5,                0,          -52.349,         -118.816
              73,                5,                1,          -48.057,         -118.816
              74,                5,                2,          -43.764,         -118.816
              75,                5,                3,          -39.246,         -118.816
              76,                5,                4,          -34.953,         -118.816
              77,                5,                5,          -30.661,         -118.816
              78,                5,                6,          -26.142,         -118.816
              79,                5,                7,          -21.850,         -118.816
              80,                5,                8,          -17.557,         -118.816
              81,                5,                9,          -13.039,         -118.816
              82,                5,               10,           -8.746,         -118.816
              83,                5,               11,           -4.454,         -118.816
              84,                5,               12,            0.065,         -118.816
              85,                5,               13,            4.357,         -118.816
              86,                5,               14,            8.650,         -118.816
              87,                5,               15,           13.168,         -118.816
              88,                5,               16,           17.461,         -118.816
              89,                5,               17,           21.754,         -118.816
              90,                6,                0,          -56.469,         -114.361
              91,                6,                1,          -52.177,         -114.361
              92,                6,                2,          -47.884,         -114.361
              93,                6,                3,          -43.366,         -114.361
              94,                6,                4,          -39.073,         -114.361
              95,                6,                5,          -34.781,         -114.361
              96,                6,                6,          -30.262,         -114.361
              97,                6,                7,          -25.970,         -114.361
              98,                6,                8,          -21.677,         -114.361
              99,                6,                9,          -17.159,         -114.361
             100,                6,               10,          -12.866,         -114.361
             101,                6,               11,           -8.574,         -114.361
             102,                6,               12,           -4.055,         -114.361
             103,                6,               13,            0.237,         -114.361
             104,                6,               14,            4.530,         -114.361
             105,                6,               15,            9.048,         -114.361
             106,                6,               16,           13.341,         -114.361
             107,                6,               17,           17.634,         -114.361
             108,                6,               18,           22.152,         -114.361
             109,                6,               19,           26.445,         -114.361
             110,                6,               20,           30.737,         -114.361
             111,                7,                0,          -56.469,         -110.068
             112,                7,                1,          -52.177,         -110.068
             113,                7,                2,          -47.884,         -110.068
             114,                7,                3,          -43.366,         -110.068
             115,                7,                4,          -39.073,         -110.068
             116,                7,                5,          -34.781,         -110.068
             117,                7,                6,          -30.262,         -110.068
             118,                7,                7,          -25.970,         -110.068
             119,                7,                8,          -21.677,         -110.068
             120,                7,                9,          -17.159,         -110.068
             121,                7,               10,          -12.866,         -110.068
             122,                7,               11,           -8.574,         -110.068
             123,                7,               12,           -4.055,         -110.068
             124,                7,               13,            0.237,         -110.068
             125,                7,               14,            4.530,         -110.068
             126,                7,               15,            9.048,         -110.068
             127,                7,               16,           13.341,         -110.068
             128,                7,               17,           17.634,         -110.068
             129,                7,               18,           22.152,         -110.068
             130,                7,               19,           26.445,         -110.068
             131,                7,               20,           30.737,         -110.068
             132,                8,                0,          -56.469,         -105.776
             133,                8,                1,          -52.177,         -105.776
             134,                8,                2,          -47.884,         -105.776
